expiry,fire_days,tradable,untradable,profitable,losing,all_tradable_profitable,first_fire_date,first_fire_tradable,first_fire_profitable,first_fire_pnl,first_fire_lot_aware_pnl,best_pnl,worst_pnl,best_lot_aware_pnl,worst_lot_aware_pnl,avg_tradable_pnl,first_fire_rank,in_oos
2020-09-24,6,6,0,0,6,False,2020-08-20,True,False,-5979.51567396,-2278.75,-4986.46665674,-6264.22639818,-1881.25,-2380.0,-5412.449321726666,middle,False
2020-11-26,3,3,0,3,0,True,2020-10-22,True,True,598.5896328,250.0,1460.9069928600002,528.30005864,586.2500000000001,222.5,862.5988947666667,middle,False
2021-01-28,7,6,1,5,1,False,2020-12-28,True,True,178.45128612,87.5,1552.1069921400006,-719.701245780047,622.5000000000001,-251.25000000001805,423.6794627333257,middle,False
2021-03-25,11,10,1,3,7,False,2021-02-18,True,False,-5773.14106916,-2190.0,1808.4924708399976,-6078.84725982,727.4999999999991,-2311.25,-3164.737685626005,middle,False
2021-04-29,2,1,1,1,0,True,2021-03-25,False,False,,,1573.932377279999,1573.932377279999,632.4999999999995,632.4999999999995,1573.932377279999,first_fire_untradable,False
2021-05-27,5,5,0,5,0,True,2021-04-29,True,True,274.02968566,123.75,1524.28024124,274.02968566,612.5,123.75,1256.4578731279998,worst,False
2021-09-30,2,2,0,2,0,True,2021-09-06,True,True,1305.8915135399998,526.2499999999999,1451.9732043599997,1305.8915135399998,582.4999999999999,526.2499999999999,1378.9323589499998,worst,False
2021-10-28,3,3,0,3,0,True,2021-09-23,True,True,614.47469914,256.25,696.0784112,237.24750672,287.5,110.00000000000001,515.93353902,middle,False
2021-11-25,2,2,0,0,2,False,2021-10-21,True,False,-5664.28616664,-2150.0,-5664.28616664,-5933.3013562,-2150.0,-2258.75,-5798.79376142,best,False
2022-07-28,7,6,1,6,0,True,2022-06-24,True,True,789.59384126,323.75,1790.7569587599994,185.35928487999996,717.4999999999998,89.99999999999999,875.9737744666667,middle,False
2023-09-28,5,3,2,3,0,True,2023-08-25,True,True,765.1356454199998,313.75,765.1356454199998,163.23704551999998,313.75,81.25,431.8331474066666,best,True
2024-01-25,9,8,1,7,1,False,2023-12-21,True,True,611.2082424400003,255.00000000000006,1553.2094948399993,-1514.5659884000959,623.7499999999998,-556.250000000037,481.56798867748785,middle,True
2024-03-28,11,10,1,10,0,True,2024-02-22,True,True,684.9301764399999,283.74999999999994,1611.9985022599994,140.63873628000005,646.2499999999999,72.50000000000001,972.4038242260001,middle,True
2024-05-30,4,4,0,4,0,True,2024-05-03,True,True,1491.4137052,600.0,1491.4137052,1306.4807666200004,600.0,528.7500000000001,1434.800717925,best,True
2024-06-27,3,3,0,3,0,True,2024-05-23,True,True,758.74588178,312.5,758.74588178,401.6656312399999,312.5,173.74999999999997,608.9320245133334,best,True
2024-12-26,2,2,0,1,1,False,2024-11-22,True,True,883.6563591600002,1083.7500000000002,883.6563591600002,-6096.338339919953,1083.7500000000002,-6974.999999999945,-2606.3409903799766,best,True
2025-05-27,2,2,0,2,0,True,2025-04-24,True,True,969.8237864799997,1184.9999999999998,969.8237864799997,591.3559271000003,1184.9999999999998,746.2500000000002,780.58985679,best,True
2025-11-25,4,4,0,4,0,True,2025-10-30,True,True,1279.441366180001,1552.5000000000014,1442.8146934399992,1279.441366180001,1739.999999999999,1552.5000000000014,1394.04145152,worst,True
