variant,deployment_frac,total_pnl_fixed,total_pnl_compound,final_equity_compound,cagr_compound_pct,max_drawdown_pct,sharpe
pt50,0.1,59164.330531080006,60909.43784300005,1060909.437843,2.681895518136601,1.3072404029643885,1.1452611372038817
pt50,0.2,120040.05959352001,123665.11217231979,1123665.1121723198,5.357533851148744,2.616430224465265,1.1352973975356375
pt50,0.3,180949.49743652,190043.1785382803,1190043.1785382803,8.099242580758403,3.9248900174963595,1.130315364828403
pt50,0.5,304865.05918192,329443.2341566002,1329443.2341566002,13.594126082088565,6.610255166949841,1.1391844958380974
pt50,1.0,609905.3541338401,706714.2159206802,1706714.2159206802,27.033296058664604,13.30028203111257,1.1364339427091577
hte,0.1,126810.76293818,135814.60736507992,1135814.60736508,5.865921911630445,0.0,2.9370828261864266
hte,0.2,258154.47110144,287712.9607942202,1287712.9607942202,11.984043488317141,0.0,2.928741641056294
hte,0.3,389571.99497004,458210.98989244015,1458210.9898924401,18.393451775630364,0.0,2.917690954544731
hte,0.5,652536.59624486,861413.5822185196,1861413.5822185196,32.06400091841437,0.0,2.9135934523440588
hte,1.0,1308042.23797936,2276144.09955568,3276144.09955568,70.09117531667759,0.0,2.9113714906320514
