variant,percentile,total_pnl_fixed,total_pnl_compound,final_equity_compound,cagr_compound_pct,max_drawdown_pct
pt50,5,40185.20186489998,-28391.13328511773,971608.8667148823,-1.280930626279103,0.0
pt50,25,387589.24487617007,373837.6224342751,1373837.6224342752,15.276639403331703,9.982583114950813
pt50,50,633665.2218861401,746899.0083130499,1746899.00831305,28.363503027175504,13.34280537983667
pt50,75,857448.9746923804,1175118.0226442798,2175118.0226442795,41.59919597821521,21.92051872119356
pt50,95,1139703.10094288,1865677.6416365574,2865677.6416365574,60.19894878410368,32.28545707201968
hte,5,902234.3514855681,1344528.5400457152,2344528.5400457154,46.43357383996092,0.0
hte,25,1103378.35343856,1777208.2369579347,2777208.2369579347,57.96603100991165,0.0
hte,50,1283789.6747218203,2214952.9608662003,3214952.9608662003,68.66174223204676,0.0
hte,75,1490178.9254854799,2792831.131841935,3792831.131841935,81.61429333924103,0.0
hte,95,1815837.67759564,3924201.9187711934,4924201.918771193,104.1252145865992,0.0
