variant,dropped_index,dropped_expiry,dropped_outcome,dropped_pnl_contract,remaining_n,remaining_win_rate,remaining_avg_pnl,remaining_sharpe,remaining_sharpe_per_lot,total_pnl_fixed,total_pnl_compound,final_equity_compound,max_drawdown_pct
pt50,0,2024-03-28,profit_take,637.7229632599999,7,0.7142857142857143,389.1360340771429,0.9895710090472878,1.3688743218170616,536567.2133589401,588440.2542433399,1588440.2542433399,13.369027352560526
pt50,1,2024-05-30,profit_take,671.8367957400003,7,0.7142857142857143,384.26262943714283,0.839260917439397,1.3538606404148623,429181.25607978005,444148.04197832034,1444148.0419783203,13.335665943747872
pt50,2,2024-06-27,profit_take,671.4317438200001,7,0.7142857142857143,384.3204939971429,0.8641518504296212,1.3540373424138399,452790.3260799601,474631.3461112601,1474631.3461112601,13.334470301655935
pt50,3,2024-09-26,managed,-1134.323989000001,7,0.8571428571428571,642.2855986857145,1.833935720220874,3.090031824805304,742621.2608468401,968730.4821953604,1968730.4821953604,9.988195699459359
pt50,4,2024-12-26,expired_worthless,996.0708509600004,7,0.7142857142857143,337.94347869142854,0.9101747601220105,1.2234438457838772,488384.71031672007,521251.9364398604,1521251.9364398604,13.30028203111257
pt50,5,2025-01-30,profit_take,1536.1627613599994,7,0.7142857142857143,260.7874914914287,0.8137084640396542,1.0490795444303485,397914.89306616015,408673.89818354044,1408673.8981835404,13.30028203111257
pt50,6,2025-05-27,managed,-826.375995399999,7,0.8571428571428571,598.2930281714285,1.5761649803638684,2.5082477302304755,709070.4735818399,894783.4243850801,1894783.42438508,13.30028203111257
pt50,7,2025-11-25,profit_take,809.15007106,7,0.7142857142857143,364.64644724857146,0.9478026727958493,1.2960275021184346,512807.3456066401,555403.1526324602,1555403.1526324602,13.30028203111257
hte,0,2024-03-28,expired_worthless,684.9301764399999,7,1.0,1062.849241637143,2.8605199508453625,11.215549967741648,1229275.26768876,2033917.8395110401,3033917.83951104,0.0
hte,1,2024-05-30,expired_worthless,1491.4137052,7,1.0,947.6373089571427,4.665534299867974,11.228418889083482,906851.9512805599,1332603.1108668,2332603.1108668,0.0
hte,2,2024-06-27,expired_worthless,758.74588178,7,1.0,1052.3041408742858,2.493946357338843,10.70167431039422,1130495.70164284,1781399.55901008,2781399.55901008,0.0
hte,3,2024-09-26,expired_worthless,792.701608,7,1.0,1047.4533228428572,2.779680179517241,10.512694079747051,1215296.14984336,1995843.00000632,2995843.00000632,0.0
hte,4,2024-12-26,expired_worthless,996.0708509600004,7,1.0,1018.4005738485713,2.6477618770977496,9.840574996384944,1186521.59416224,1919548.01341192,2919548.01341192,0.0
hte,5,2025-01-30,partial_loss,1563.8997354399994,7,1.0,937.28216178,2.4551328118422835,12.1566715385897,1092224.07448864,1695259.4725742405,2695259.4725742405,0.0
hte,6,2025-05-27,expired_worthless,931.2177868400004,7,1.0,1027.6652972942854,2.687903474537162,9.980069975888515,1196296.10355856,1944610.9655433996,2944610.9655433996,0.0
hte,7,2025-11-25,expired_worthless,905.89512324,7,1.0,1031.2828206657143,2.701315740292585,10.052252686377617,1199334.8231905599,1954551.33080548,2954551.33080548,0.0
